Lv,序号,标记,ジャンル名(タイプ),曲名,bpm,Time,Notes,難易度
31,écl,,パワーダンプ(N),激走！！ヤング☆ダンプ！,180,2:01,736,強(+0.5)
31,écl,,ピースフルフラッフィー(H),とびっきりのふわっふわ,110,,581,中(0.0)
31,écl,,リスク+バキューム(N),Triple Counter,216,2:02,642,中(0.0)
31,écl,,A.I.スカイポップ(H),エアポートシャトル,153,,574,中(0.0)
31,うさ,,黒い月の遊戯(H),黒い月の遊戯,132,,576,中(0.0)
31,うさ,,リリーゼと炎龍レーヴァテイン(N),リリーゼと炎龍レーヴァテイン,200,1:48,566,中(0.0)
31,うさ,,ルミナスデイズ(H),ルミナスデイズ,96～145,,631,弱(-0.5)
31,うさ,,Black Emperor(N),Black Emperor,30～195,1:59,581,中(0.0)
31,うさ,,Pacify(N),Pacify,175,2:02,579,中(0.0)
31,うさ,,Puberty Dysthymia(N),Puberty Dysthymia,67～210,1:51,553,中(0.0)
31,pe,,ウラ・スキャット(H),cat's scat,135,,443,中(0.0)
31,pe,,少女と時の花(N),少女と時の花,112,2:07,587,中(0.0)
31,pe,,翠雨の祷(N),翠雨の祷,197,1:58,559,中(0.0)
31,pe,,令和の国(N),令和の国,176,1:52,530,中(0.0)
31,pe,[[版]],Floccinaucinihilipilification(N),Floccinaucinihilipilification,200,,592,弱(-0.5)
31,pe,,Last Twilight(N),Last Twilight,198,,638,中(0.0)
31,pe,[[版]],luck(H),luck,80～121,1:52,530,弱(-0.5)
31,pe,,voltississimo(N),voltississimo,225,1:55,588,強(+0.5)
31,解,,ウソツキ横丁は雨模様(N),ウソツキ横丁は雨模様,220,,533,強(+0.5)
31,解,,極悪の華(N),極悪の華,167～176,,642,中(0.0)
31,解,,ドリームゲイザー(UPPER)(N),Little prayer,174,1:56,594,個人差(-1.5)
31,解,,"ピアノ独奏無言歌 ""灰燼""(N)","ピアノ独奏無言歌 ""灰燼""",116～180,,610,弱(-0.5)
31,解,,ミサコの告白(みーつけたっ♥)(N),ミサコの告白(みーつけたっ♥),215,,588,強(+0.5)
31,解,[[版]],Butter-FLY(UPPER)(N),Butter-FLY,165,1:59,666,中(0.0)
31,解,,DUAL STRIKER(N),DUAL STRIKER,185,,607,中(0.0)
31,解,,Globe Glitter(N),Globe Glitter,190,,654,詐称(+1.0)
31,解,,Northern Cross(N),Northern Cross,155,,577,中(0.0)
31,解,,Slime Molds(N),Slime Molds,170,,567,強(+0.5)
31,解,,Triple Cross(N),Triple Cross,196,,557,弱(-0.5)
31,UL,,あまるがむ(N),あまるがむ,160,,527,中(0.0)
31,UL,,粋 -IKI-(N),粋 -IKI-,190,,600,強(+0.5)
31,UL,,,少年A(N),少年A,90～192,,573
31,UL,,,スウィートフレンドシップ(UPPER)(N),チョコレートスマイル,196,2:02,700
31,UL,,,遊戯大熊猫(N),遊戯大熊猫,145,1:51,498
31,UL,,,ちくわパフェだよ☆CKP (Yvya Remix)(N),ちくわパフェだよ☆CKP (Yvya Remix),205,,696
31,UL,[[版]],ド屑(H),ド屑,115～230,,453,弱(-0.5)
31,UL,,,不可説不可説転(N),不可説不可説転,140,1:55,514
31,UL,,[[版]],マトリョシカ(UPPER)(H),マトリョシカ,205～296,,525
31,UL,,萌えおこしストラテジー(UPPER)(N),地方創生☆チクワクティクス,170,1:40,564,中(0.0)
31,UL,,萌えおこし電波ソング(UPPER)(N),めうめうぺったんたん！！,185,2:00,603,中(0.0)
31,UL,,ユメブキ(N),ユメブキ,200,,518,弱(-0.5)
31,UL,,fallen leaves -IIDX edition-(N),fallen leaves -IIDX edition-,165,,553,中(0.0)
31,UL,,Hexer(N),Hexer,165,,549,中(0.0)
31,UL,[[版]],MEGALOVANIA(N),MEGALOVANIA,120,,532,弱(-0.5)
31,UL,,,pump up dA CORE(N),pump up dA CORE,186,,580
31,UL,,Shout It Out(N),Shout It Out,205,,572,中(0.0)
31,UL,,,Stylus(N),Stylus,165,1:49,571
31,UL,,,UROBOROS OVERDIVE(N),UROBOROS OVERDIVE,160,2:04,538
31,UL,,,VOLAQUAS(N),VOLAQUAS,212,,581
31,JF,,おしゃまスウィング(UPPER)(N),なまいきプリンセス,125,2:01,630,弱(-0.5)
31,JF,,Flower-Band ver.-(N),Flower-Band ver.-,173,,590,強(+0.5)
31,JF,,Step forward(N),Step forward,145,1:58,608,中(0.0)
31,HC,,,あさきのコラボロック(UPPER)(N),透明はまだらに世界を告げて,210,1:48,621
31,HC,,,アマノガワレイヴ(N),MILKY HIGHWAY,190,,610
31,HC,,,アンサラー(N),Fragarach,190,,506
31,HC,,,演説2(N),告げてみことや かのもとに,138,,515
31,HC,,,ガチャメタル(N),OVERDUE DEADEND,120～220,,550
31,HC,,,空想ファンタジーシリーズ(N),眠りの国のステラ,193,,591
31,HC,,[[版]],ソフトロックLONG(不知火フレア)(H),Homesick Pt.2&3,178,2:26,682
31,HC,,,ダークナイト(N),その闇を薙いで,151,,537
31,HC,,,デンパズルビート(N),ちくたく²ちく²ぱ,190,,600
31,HC,,,ドラムンコアダスト2(UPPER)(N),ラピストリアの約束,186,1:48,619
31,HC,,,丼ベース(N),Deep tenDon Reflex,180,,557
31,HC,,[[版]],マツケンサンバII(H),マツケンサンバII,127,,444
31,HC,,[[版]],BRAND NEW STARS!!(H),BRAND NEW STARS!!,117,,466
31,HC,,[[版]],Wanderlust(H),Wanderlust,144,,564
31,CS2,,ファニー(H),PULSE,130,,340,弱(-0.5)
31,CS5,,キューバングルーブ(H),サナ・モレッテ・ネ・エンテ,90,1:54,505,中(0.0)
31,CS5,,サーキット(H),Drivin' High,180,1:36,573,強(+0.5)
31,CS6,,80'sポップ(H),Girl from the Portrait,120,1:34,477,中(0.0)
31,CS8,,ラテンエンカ(H),ロマンス,113,2:22,556,中(0.0)
31,CS9,,スライ(H),Tokyo Traffic Report,225,1:31,434,中(0.0)
31,CS10,,クリアトーン(H),さようならは言わないけれど,152,,509,強(+0.5)
31,CS10,,トゥインクルダンス(EX),エブリデイ・ラブリデイ,122,2:00,441,弱(-0.5)
31,CS11,,コンテンポラリーネイション2(N),サヨナラ・ヘヴン,111,2:01,572,弱(-0.5)
31,CS14,,ジャパニーズレゲエ(H),晴香-HARUKA-,80,1:57,434,弱(-0.5)
31,[[うたっち]],,アイドルウェーヴ(H),エンプティ マイ ハート,132,1:48,549,中(0.0)
31,PMP2,,リナシタ(N),uən,200,1:57,531,弱(-0.5)
31,ee,,イーラップ(H),Nick Boys,109,1:43,454,中(0.0)
31,ee2,,秋(H),autumn G,86,1:48,454,強(+0.5)
31,ee2,,ツッパリ(H),バリバリブギ ～涙のフルーツポンチ～,175,1:44,630,危険(+1.5)
31,ee2,,トランス(H),REINCARNATION,145,2:00,525,中(0.0)
31,ee2,,ハレンチテクノ(H),LINN 1999,136,1:14,342,中(0.0)
31,ee2,,ボッサグルーヴ(H),papayapa bossa,143,1:37,458,強(+0.5)
31,ee2,,ユーロビート(H),Twin Bee ～Generation X～,168～177,1:11,348,弱(-0.5)
31,ee2,,ルイン(H),空言の海,92,2:07,608,中(0.0)
31,ee2,,J-R＆B(H),ALONE,108,1:37,459,中(0.0)
32,4,,アナログテクノ(H),ELECTRONISM,130,1:34,507,中(0.0)
32,4,,フレンドリー(H),Over The Rainbow,140,1:33,491,弱(-0.5)
32,5,,アニメヒロイン(H),魔法の扉（スペース🪐マコのテーマ）,184,1:30,469,個人差(-1.5)
32,5,,ハイテンション(H),どうなっちゃったって,169,1:48,608,強(+0.5)
32,5,,フレンチポップJ(EX),une fille dans la pluie,134,2:04,557,逆詐称(-1.0)
